 Experiment number: ,,#210
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    549.25(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
380161,380173,12,Turn,face-front/back,RightWall(Night),
380173,380455,282,Remain Low,RightWall(Night),
380455,380461,6,Turn,RightWall(Night),
380461,380533,72,Remain Low,RightWall(Night),
380533,380539,6,Turn,face-front/back,RightWall(Night),
380539,380593,54,Remain Low,RightWall(Night),
380593,380599,6,Walk Slowly,Floor(Night),
380599,380605,6,Turn,RightWall(Night),
380605,380629,24,Remain Low,RightWall(Night),
380629,380638,9,Turn,face-front/back,RightWall(Night),
380638,380812,174,Remain Low,RightWall(Night),
380812,380818,6,Turn,RightWall(Night),
380818,380824,6,Remain Low,RightWall(Night),
380824,380830,6,Turn,Floor(Night),
380830,380836,6,Walk Slowly,Floor(Night),
380836,380890,54,Unknown Behavior,,
380890,380902,12,Remain Low,Floor(Night),
380902,380908,6,Turn,Floor(Night),
380908,380914,6,Turn,face-front/back,Floor(Night),
380914,380920,6,Remain Low,Floor(Night),
380920,380932,12,Turn,Floor(Night),
380932,380950,18,Remain Low,Floor(Night),
380950,380962,12,Walk Slowly,Floor(Night),
380962,381142,180,Remain Low,Floor(Night),
381142,381151,9,Turn,face-front/back,Floor(Night),
381151,381157,6,Remain Low,Floor(Night),
381157,381163,6,Turn,Floor(Night),
381163,381169,6,Turn,face-front/back,Floor(Night),
381169,381199,30,Remain Low,Floor(Night),
381199,381204,5,Turn,Floor(Night),
381286,381611,325,Groom,PLF<-HdW,Floor(Night),
381611,381642,31,Stretch Body,Floor(Night),
381642,381651,9,Remain Low,Floor(Night),
381651,381663,12,Walk Slowly,Floor(Night),
381663,381669,6,Stretch Body,Floor(Night),
381669,381675,6,Walk Slowly,Floor(Night),
381675,381681,6,Remain Low,Floor(Night),
381681,381726,45,Stretch Body,Floor(Night),
381726,381843,117,Remain Low,RightWall(Night),
381843,381906,63,Stretch Body,RightWall(Night),
381906,381999,93,Remain Low,RightWall(Night),
381999,382008,9,Stretch Body,RightWall(Night),
382008,382086,78,Remain Low,RightWall(Night),
382086,382092,6,Turn,RightWall(Night),
382092,382098,6,Turn,RightWall(Night),
382098,382104,6,Turn,face-front/back,RightWall(Night),
382104,382110,6,Turn,RightWall(Night),
382110,382176,66,Remain Low,RightWall(Night),
382176,382181,5,Stretch Body,RightWall(Night),
382181,382496,315,Groom,B_L,RightWall(Night),
382496,382503,7,Remain Low,RightWall(Night),
382503,382509,6,Turn,RightWall(Night),
382509,382515,6,Walk Slowly,Floor(Night),
382515,382533,18,Remain Low,Floor(Night),
382533,382545,12,Walk Slowly,Floor(Night),
382545,382551,6,Remain Low,Floor(Night),
382551,382560,9,Walk Left,Floor(Night),
382560,382570,10,Walk Slowly,Floor(Night),
382570,382623,53,Remain Low,LeftWall(Night),
382623,382638,15,Walk Slowly,LeftWall(Night),
382638,382668,30,Remain Low,LeftWall(Night),
382668,382674,6,Turn,face-front/back,LeftWall(Night),
382674,382686,12,Remain Low,LeftWall(Night),
382686,382692,6,Turn,LeftWall(Night),
382692,382698,6,Remain Low,LeftWall(Night),
382698,382704,6,Turn,LeftWall(Night),
382704,382710,6,Turn,LeftWall(Night),
382710,382722,12,Remain Low,LeftWall(Night),
382722,382728,6,Turn,face-front/back,LeftWall(Night),
382728,382770,42,Remain Low,LeftWall(Night),
382770,382776,6,Turn,LeftWall(Night),
382776,382785,9,Turn,face-front/back,LeftWall(Night),
382785,382839,54,Remain Low,LeftWall(Night),
382839,382845,6,Turn,LeftWall(Night),
382845,382953,108,Remain Low,LeftWall(Night),
382953,382959,6,Turn,face-front/back,LeftWall(Night),
382959,382976,17,Remain Low,LeftWall(Night),
382976,383318,342,Pause,,
383318,384295,977,Sleep,LeftWall(Night),
384295,384376,81,Twitch,LeftWall(Night),
384376,384492,116,Sleep,LeftWall(Night),
